プラン,月額料金,契約月数,直近30日ログイン日数,月間視聴時間,サポート問合せ回数,値上げ経験,解約
スタンダード,1480,2,22,57.1,1,0,0
スタンダード,1480,11,22,43.7,1,1,0
ライト,790,9,4,12.6,2,0,1
ライト,490,5,13,30.4,1,1,0
スタンダード,1480,10,6,13.0,3,0,0
プレミアム,1980,5,26,25.8,2,0,0
スタンダード,1480,5,0,0.8,3,0,0
スタンダード,990,4,6,18.7,2,0,0
プレミアム,1980,35,25,64.6,1,1,0
ライト,490,6,3,8.2,1,0,0
スタンダード,1480,14,4,2.8,0,0,0
ライト,790,3,14,31.0,0,0,0
スタンダード,1480,7,14,15.5,2,1,0
プレミアム,1980,8,17,43.4,0,0,0
ライト,790,10,14,13.7,2,0,0
スタンダード,1480,17,0,6.3,0,0,0
ライト,790,8,20,34.9,1,0,0
ライト,490,27,23,56.5,1,0,0
スタンダード,990,5,13,33.2,0,1,0
プレミアム,1980,2,16,30.2,1,0,1
スタンダード,990,6,13,33.2,1,0,0
ライト,490,2,6,24.3,1,0,0
プレミアム,1980,3,9,27.8,0,0,1
ライト,790,27,8,12.5,0,0,0
プレミアム,1980,8,4,5.3,1,0,1
プレミアム,1980,1,12,35.7,1,0,0
ライト,790,3,9,22.0,2,0,1
ライト,790,5,13,7.7,1,0,0
スタンダード,1480,8,5,11.5,1,1,1
スタンダード,1480,25,9,19.0,1,1,0
スタンダード,1480,24,12,31.1,3,1,1
ライト,490,4,28,36.7,2,1,0
ライト,790,11,13,30.2,1,0,0
プレミアム,1980,7,25,37.9,0,1,0
スタンダード,990,26,18,11.0,1,0,0
ライト,790,25,4,16.5,1,0,0
ライト,490,7,17,9.3,0,0,0
スタンダード,1480,10,15,15.5,1,0,0
ライト,790,26,0,0.0,1,0,0
スタンダード,990,4,15,32.6,1,1,0
スタンダード,990,15,2,4.9,1,0,0
スタンダード,1480,1,8,20.4,1,1,1
スタンダード,1480,15,9,9.8,2,0,0
スタンダード,1480,20,18,30.5,1,1,1
ライト,490,2,0,1.6,2,1,1
スタンダード,1480,12,30,39.4,1,0,0
プレミアム,1980,18,17,36.6,0,1,0
ライト,490,12,13,32.1,0,1,0
プレミアム,1980,2,15,19.7,2,0,0
ライト,490,16,8,8.4,2,1,0
ライト,490,2,0,2.0,0,0,1
スタンダード,1480,34,15,35.0,1,1,0
スタンダード,990,27,13,12.4,1,1,0
スタンダード,990,20,6,13.4,1,0,0
スタンダード,990,34,12,22.9,1,0,0
スタンダード,990,6,25,69.9,3,0,0
プレミアム,1980,6,25,26.3,2,1,0
ライト,790,15,4,10.0,1,0,1
ライト,490,20,10,28.8,2,1,0
ライト,790,22,10,13.2,0,1,0
スタンダード,990,6,20,41.3,2,0,1
スタンダード,990,2,14,32.6,2,0,0
スタンダード,990,18,18,17.1,1,1,0
プレミアム,1980,22,15,18.8,2,0,0
スタンダード,1480,13,16,33.6,4,0,0
ライト,790,15,27,42.5,1,0,0
ライト,790,6,7,0.0,2,1,1
ライト,490,22,24,38.5,1,1,0
スタンダード,1480,11,20,24.7,0,1,0
ライト,490,3,0,7.6,0,1,0
ライト,790,11,19,21.4,1,0,0
ライト,490,2,0,2.9,2,0,1
スタンダード,1480,29,7,22.0,1,0,0
プレミアム,1980,21,11,19.9,0,1,1
スタンダード,990,6,15,17.5,1,0,0
スタンダード,1480,10,16,13.9,1,0,0
ライト,490,3,9,14.7,1,0,0
スタンダード,1480,34,23,41.1,0,1,0
スタンダード,990,9,13,29.5,1,0,1
スタンダード,1480,9,8,20.6,1,0,0
スタンダード,990,20,5,16.2,1,0,0
ライト,490,26,17,25.4,0,0,0
ライト,790,10,11,21.3,0,0,0
スタンダード,990,6,11,33.8,1,0,0
スタンダード,1480,9,8,15.4,1,0,0
スタンダード,990,1,6,8.6,1,0,1
ライト,490,4,17,11.7,0,1,0
ライト,490,3,6,2.3,1,0,0
スタンダード,990,3,18,6.2,2,1,1
スタンダード,990,4,7,28.1,0,0,0
プレミアム,1980,4,3,7.8,2,0,0
ライト,790,19,14,6.7,2,1,0
スタンダード,1480,9,6,13.7,1,1,0
ライト,490,11,26,23.9,1,0,0
ライト,490,7,18,25.7,2,0,0
スタンダード,990,5,16,19.1,0,0,0
スタンダード,1480,4,3,6.1,2,1,1
ライト,490,4,25,27.0,1,1,0
ライト,790,39,14,30.0,2,0,0
スタンダード,1480,20,9,5.0,0,0,0
スタンダード,990,21,28,74.6,0,0,0
スタンダード,1480,29,14,25.2,1,0,0
スタンダード,990,13,24,40.3,2,0,0
プレミアム,1980,7,9,15.5,1,0,0
スタンダード,1480,11,16,50.6,1,0,0
スタンダード,1480,23,1,5.0,1,0,0
スタンダード,990,5,13,20.7,0,1,1
ライト,790,13,30,20.6,0,0,0
ライト,790,18,10,22.4,2,0,0
ライト,490,18,0,2.1,2,0,1
ライト,790,7,13,24.2,1,0,0
ライト,790,12,30,32.5,1,1,0
プレミアム,1980,16,13,32.0,1,0,1
プレミアム,1980,3,14,32.7,2,1,0
ライト,790,3,0,1.4,1,0,1
スタンダード,1480,16,6,16.9,1,0,0
スタンダード,990,18,5,13.3,3,1,1
ライト,790,19,13,43.6,2,0,0
ライト,790,2,8,17.9,1,0,1
ライト,490,6,5,12.8,2,1,1
ライト,490,13,21,30.4,2,0,0
スタンダード,1480,9,18,41.9,1,0,0
スタンダード,1480,21,10,19.4,1,1,0
スタンダード,1480,5,11,19.9,4,0,0
ライト,790,20,9,33.8,1,0,1
スタンダード,1480,5,11,15.5,0,1,1
プレミアム,1980,11,15,13.9,0,1,0
スタンダード,990,11,3,5.4,0,0,0
プレミアム,1980,2,12,25.4,3,1,0
ライト,490,2,7,14.0,1,0,0
ライト,790,3,5,16.9,1,0,1
スタンダード,990,17,20,36.8,0,1,0
ライト,490,36,0,6.6,1,0,1
ライト,790,6,24,40.0,1,0,0
ライト,790,48,19,31.0,2,0,0
スタンダード,990,8,11,20.3,1,1,1
スタンダード,990,2,14,6.9,0,0,0
スタンダード,990,2,10,21.7,0,0,0
プレミアム,1980,24,1,2.6,2,0,1
スタンダード,990,6,15,37.3,0,0,0
ライト,790,5,22,82.5,2,1,0
ライト,790,5,20,68.2,2,0,0
スタンダード,990,12,10,26.5,0,0,0
ライト,790,6,17,17.6,1,0,0
スタンダード,1480,9,11,19.3,0,0,1
スタンダード,1480,19,0,0.0,1,1,1
スタンダード,990,32,18,12.0,0,0,0
スタンダード,990,16,20,36.5,0,0,0
ライト,790,13,16,46.3,1,0,0
ライト,790,29,26,62.5,1,1,0
ライト,490,7,9,8.2,1,0,1
ライト,490,12,28,53.0,2,0,0
プレミアム,1980,10,0,7.6,4,0,1
ライト,790,11,1,0.0,1,0,0
スタンダード,990,2,6,12.6,3,1,1
スタンダード,1480,4,13,11.3,1,0,0
ライト,490,30,27,39.1,1,0,0
ライト,490,23,8,14.1,1,0,1
スタンダード,1480,3,15,25.8,0,0,0
プレミアム,1980,10,13,13.5,2,0,0
ライト,790,17,19,18.7,0,1,0
スタンダード,990,11,22,56.6,1,0,0
ライト,490,4,0,5.6,1,0,1
ライト,490,13,11,32.2,0,0,0
スタンダード,990,28,2,1.1,0,0,0
ライト,490,31,19,30.1,1,0,0
ライト,490,9,26,61.0,1,1,0
ライト,790,14,22,53.4,0,0,0
スタンダード,1480,9,21,44.2,1,0,0
ライト,490,12,15,38.1,0,1,0
スタンダード,1480,13,19,31.6,1,1,0
プレミアム,1980,12,14,18.6,0,0,0
スタンダード,990,16,12,30.9,2,1,0
スタンダード,990,6,4,15.4,1,0,0
スタンダード,990,10,7,11.0,1,0,0
プレミアム,1980,13,23,17.9,1,1,0
ライト,790,26,15,42.4,2,0,0
ライト,790,2,16,36.7,1,1,0
ライト,490,12,9,9.4,1,0,0
スタンダード,1480,15,23,48.6,0,0,0
ライト,490,3,13,24.1,2,0,0
プレミアム,1980,3,15,11.8,0,0,0
ライト,490,16,19,26.6,2,0,0
ライト,490,14,23,37.8,0,0,0
スタンダード,1480,6,24,49.8,2,0,0
ライト,490,8,29,80.9,1,0,0
ライト,490,8,15,39.3,1,0,0
プレミアム,1980,8,8,22.8,0,1,0
ライト,490,7,12,21.5,1,1,0
スタンダード,990,1,5,11.9,0,0,1
プレミアム,1980,5,19,35.6,1,1,0
スタンダード,1480,8,12,29.4,1,1,0
ライト,490,28,11,31.6,1,0,0
ライト,490,6,1,0.5,1,1,1
ライト,790,8,5,14.5,2,0,1
ライト,790,1,6,14.9,2,0,0
ライト,490,34,2,6.2,0,1,0
スタンダード,1480,20,10,18.9,1,0,0
スタンダード,1480,36,20,19.5,0,1,0
プレミアム,1980,30,5,18.4,0,1,1
スタンダード,1480,9,12,34.0,1,0,0
プレミアム,1980,10,20,50.7,1,0,0
ライト,490,18,22,42.0,0,0,0
ライト,790,3,29,78.2,0,0,0
スタンダード,1480,15,14,34.8,3,1,1
プレミアム,1980,6,15,13.0,1,1,1
ライト,490,21,8,23.3,2,1,0
プレミアム,1980,19,6,9.9,1,0,1
ライト,490,15,7,6.8,2,0,0
プレミアム,1980,11,14,43.7,2,0,0
プレミアム,1980,34,27,40.2,2,1,0
スタンダード,1480,9,16,28.5,0,1,0
ライト,490,31,17,26.6,1,0,0
スタンダード,1480,9,12,9.7,2,0,0
プレミアム,1980,7,19,36.6,0,1,1
ライト,790,3,8,19.4,1,0,0
ライト,790,10,9,21.6,1,0,0
ライト,490,2,12,19.1,3,1,0
ライト,490,19,9,23.3,1,0,0
スタンダード,1480,7,6,18.0,3,1,1
スタンダード,1480,10,22,49.7,0,0,0
ライト,790,23,24,7.1,2,1,0
ライト,790,4,9,23.0,0,0,0
ライト,790,21,10,0.0,2,0,1
ライト,490,32,22,29.4,2,1,0
ライト,490,16,3,12.1,1,1,1
プレミアム,1980,18,13,25.3,0,0,0
ライト,490,25,5,9.4,0,1,1
スタンダード,990,18,4,9.0,2,1,1
ライト,490,7,10,4.5,2,0,0
スタンダード,1480,14,10,35.7,0,0,0
ライト,490,23,10,31.7,0,1,0
プレミアム,1980,5,6,22.0,1,1,1
スタンダード,990,10,16,53.8,1,0,0
スタンダード,990,20,9,19.1,0,0,1
スタンダード,1480,16,20,39.9,0,0,0
ライト,790,27,11,21.3,0,1,1
スタンダード,990,9,9,0.0,1,1,0
ライト,490,25,15,34.0,0,0,0
ライト,490,4,14,17.1,1,1,0
スタンダード,990,10,10,18.5,2,0,1
ライト,790,6,20,47.8,0,1,0
ライト,790,6,30,17.0,2,1,1
スタンダード,1480,5,8,19.5,1,1,0
スタンダード,1480,10,11,16.3,2,1,0
プレミアム,1980,9,7,10.3,0,0,0
スタンダード,990,7,1,0.0,0,0,1
スタンダード,1480,8,4,6.6,1,1,1
ライト,790,15,0,1.3,1,0,0
スタンダード,990,9,13,31.6,1,0,0
プレミアム,1980,18,8,1.4,2,0,0
ライト,490,15,11,9.8,1,1,1
スタンダード,1480,1,10,9.4,2,1,1
スタンダード,1480,22,23,40.8,1,0,0
ライト,790,21,12,11.0,1,1,0
スタンダード,1480,18,3,0.1,1,0,1
プレミアム,1980,2,21,22.7,1,0,1
スタンダード,990,7,25,48.3,1,0,0
プレミアム,1980,1,3,13.2,0,1,1
プレミアム,1980,2,9,14.8,1,0,1
ライト,790,22,8,17.2,2,1,1
スタンダード,990,33,30,44.8,0,0,0
スタンダード,990,24,6,3.8,1,1,0
ライト,790,3,4,10.2,0,0,1
ライト,790,7,21,30.7,1,0,0
スタンダード,990,2,20,40.0,1,1,0
スタンダード,990,13,22,47.8,2,0,0
ライト,490,28,7,15.5,1,0,0
スタンダード,1480,26,22,29.5,0,0,0
スタンダード,990,26,11,6.1,1,0,0
スタンダード,1480,11,14,22.6,0,0,0
スタンダード,990,17,14,23.7,1,0,0
ライト,790,6,18,24.8,1,0,0
スタンダード,1480,6,19,33.6,0,0,0
プレミアム,1980,17,5,6.3,2,0,0
スタンダード,990,23,11,10.9,2,0,1
スタンダード,1480,3,9,23.5,2,0,0
ライト,790,21,27,45.2,1,0,0
スタンダード,990,23,22,14.5,0,0,0
スタンダード,990,16,0,3.1,1,1,1
ライト,790,7,14,16.4,2,0,0
ライト,490,5,9,16.9,0,1,0
スタンダード,990,14,5,2.7,0,0,0
スタンダード,990,21,9,35.4,2,1,0
スタンダード,1480,6,16,18.5,0,0,0
スタンダード,990,11,12,20.3,2,0,0
ライト,490,7,12,41.6,0,0,0
ライト,790,8,12,33.2,0,0,0
スタンダード,1480,14,4,12.6,1,0,0
スタンダード,990,22,10,16.9,4,0,0
スタンダード,1480,6,19,30.3,0,0,1
ライト,790,25,11,16.1,0,0,1
スタンダード,1480,12,6,11.2,0,0,0
スタンダード,990,13,8,23.7,1,0,0
ライト,790,9,7,16.3,0,0,0
プレミアム,1980,10,13,32.7,0,1,0
ライト,490,30,22,39.1,1,0,0
ライト,790,6,24,46.5,1,0,0
プレミアム,1980,3,6,2.7,0,0,1
ライト,790,11,16,26.6,1,0,0
スタンダード,990,5,13,27.8,2,0,0
スタンダード,1480,24,10,22.4,1,1,0
プレミアム,1980,22,8,5.2,2,0,0
スタンダード,1480,13,14,25.1,0,0,0
ライト,790,1,15,36.4,2,1,1
ライト,490,1,11,12.4,1,1,0
プレミアム,1980,28,12,23.9,0,0,0
スタンダード,990,20,25,64.7,1,1,0
ライト,790,8,16,39.2,1,1,1
ライト,490,2,6,12.2,0,1,1
ライト,490,3,8,14.9,0,0,0
プレミアム,1980,25,16,31.3,1,0,1
ライト,790,2,0,7.3,0,1,1
ライト,790,13,0,2.9,0,0,1
スタンダード,1480,8,19,55.0,1,0,1
スタンダード,990,14,11,23.4,1,1,0
スタンダード,990,7,0,3.4,2,1,1
プレミアム,1980,17,9,21.5,2,1,0
スタンダード,990,15,14,25.1,1,0,1
プレミアム,1980,15,3,8.8,1,0,0
ライト,790,2,14,21.1,1,0,0
ライト,490,9,5,9.2,0,1,0
ライト,790,3,21,17.5,1,0,0
ライト,490,21,10,11.8,1,1,0
ライト,790,5,15,24.9,2,0,0
ライト,490,20,15,24.4,2,1,0
スタンダード,990,16,25,39.5,0,1,0
スタンダード,1480,29,15,34.8,0,1,0
ライト,790,29,14,29.8,2,0,0
ライト,790,17,20,42.8,1,0,0
プレミアム,1980,12,17,37.0,0,1,0
ライト,790,31,12,27.7,1,0,0
ライト,790,20,21,19.2,1,0,0
スタンダード,1480,7,27,41.3,0,1,0
スタンダード,1480,15,26,95.5,0,1,0
ライト,790,4,19,45.8,2,0,0
ライト,490,14,19,32.4,2,0,0
スタンダード,1480,18,28,40.8,0,0,0
プレミアム,1980,16,20,53.3,0,0,0
ライト,790,25,21,54.4,3,1,0
プレミアム,1980,48,19,26.7,1,0,0
ライト,790,6,8,23.3,1,1,1
ライト,490,2,26,49.2,2,1,0
スタンダード,990,11,20,34.8,1,1,0
ライト,790,26,16,15.4,1,0,0
プレミアム,1980,16,7,15.4,1,1,1
ライト,490,9,6,22.1,1,0,0
ライト,790,4,17,14.1,1,0,0
スタンダード,1480,17,18,50.2,1,0,0
ライト,490,4,12,36.3,1,0,0
ライト,490,16,11,21.1,0,0,1
スタンダード,1480,3,27,67.2,2,1,0
ライト,490,2,9,23.2,1,0,0
プレミアム,1980,5,1,5.6,3,0,1
ライト,790,20,16,34.9,1,0,0
ライト,490,1,13,34.2,2,1,0
ライト,490,16,8,9.5,0,0,0
ライト,790,28,7,16.4,1,0,0
プレミアム,1980,20,17,21.8,1,0,0
スタンダード,1480,3,23,64.9,4,0,0
ライト,790,13,17,32.6,1,0,0
プレミアム,1980,4,22,53.2,1,0,0
ライト,790,2,24,8.4,1,1,0
プレミアム,1980,13,21,51.3,1,0,0
スタンダード,990,17,10,28.6,0,0,0
スタンダード,990,20,14,30.0,0,1,0
ライト,490,15,15,22.5,2,0,0
ライト,490,21,16,15.1,2,0,0
スタンダード,990,13,2,2.3,0,0,1
プレミアム,1980,39,16,26.6,0,0,0
ライト,490,27,18,3.7,1,1,0
プレミアム,1980,7,16,35.5,0,0,0
スタンダード,1480,3,13,15.6,1,0,0
スタンダード,990,19,30,31.1,0,0,0
ライト,790,3,17,30.4,1,0,0
スタンダード,1480,5,19,45.8,2,0,0
スタンダード,990,1,17,14.9,1,0,0
プレミアム,1980,3,21,47.0,1,0,0
ライト,490,17,16,18.9,1,1,0
スタンダード,1480,14,5,13.7,0,0,1
スタンダード,990,4,12,31.0,2,0,0
スタンダード,1480,10,13,34.2,2,0,0
ライト,790,28,7,11.3,0,0,0
ライト,490,11,3,7.3,0,1,1
スタンダード,1480,10,22,21.9,1,1,0
プレミアム,1980,20,1,0.0,1,0,1
プレミアム,1980,7,17,43.2,1,0,0
ライト,790,35,12,23.6,2,0,0
ライト,490,5,7,5.4,1,0,1
ライト,790,4,12,28.1,1,0,0
スタンダード,1480,2,7,4.1,1,0,0
ライト,790,12,21,29.1,1,1,0
スタンダード,990,8,21,60.1,1,0,0
プレミアム,1980,6,4,11.6,3,1,1
ライト,490,26,17,15.6,0,0,0
スタンダード,990,6,30,55.5,1,0,0
スタンダード,990,8,13,15.2,1,1,1
ライト,490,9,13,35.9,1,0,1
ライト,790,29,22,33.4,2,0,0
スタンダード,1480,15,14,35.6,0,0,0
ライト,790,14,12,14.7,1,0,0
ライト,490,19,14,40.2,1,1,0
プレミアム,1980,8,18,20.2,0,0,0
プレミアム,1980,11,17,31.4,1,1,1
プレミアム,1980,8,13,11.2,1,0,0
スタンダード,1480,10,0,1.2,1,0,0
スタンダード,1480,20,25,45.5,0,0,0
ライト,790,15,6,10.1,1,0,0
プレミアム,1980,10,4,7.8,1,0,1
ライト,490,37,0,0.0,0,1,1
スタンダード,990,4,19,29.6,3,0,0
スタンダード,1480,26,12,22.3,0,0,0
プレミアム,1980,8,0,0.7,0,0,0
スタンダード,990,35,25,32.0,0,1,0
ライト,490,7,27,53.7,0,0,0
ライト,790,31,28,22.4,1,1,0
スタンダード,1480,13,4,14.0,0,0,1
ライト,790,18,14,15.8,2,1,0
スタンダード,990,21,30,92.3,1,0,0
ライト,790,23,9,29.7,1,0,0
スタンダード,990,11,5,8.2,0,0,0
スタンダード,990,4,16,30.8,2,1,0
スタンダード,1480,12,8,32.4,0,1,0
ライト,790,6,10,18.6,1,1,1
スタンダード,1480,14,18,45.7,1,0,0
ライト,790,23,25,50.9,0,0,0
スタンダード,1480,7,0,0.0,1,0,1
プレミアム,1980,13,15,40.2,1,0,0
ライト,490,29,9,26.3,0,0,1
ライト,790,3,0,3.3,2,0,1
プレミアム,1980,1,20,34.7,2,0,0
プレミアム,1980,19,9,13.1,1,1,0
ライト,790,24,14,24.4,0,0,0
スタンダード,990,16,18,59.9,3,0,0
スタンダード,990,7,1,0.5,0,0,0
ライト,790,16,13,16.1,1,0,0
ライト,790,25,18,21.6,2,0,0
プレミアム,1980,7,17,25.9,0,0,0
スタンダード,1480,32,13,20.9,2,0,1
スタンダード,1480,19,16,21.0,0,0,0
スタンダード,990,17,7,12.8,2,0,1
プレミアム,1980,9,8,21.6,1,0,0
プレミアム,1980,10,24,32.4,1,1,0
スタンダード,1480,27,13,24.1,0,1,0
スタンダード,990,11,18,47.7,1,0,0
スタンダード,1480,19,8,23.1,1,0,0
ライト,490,2,24,50.0,2,0,0
ライト,490,30,11,10.6,1,1,0
プレミアム,1980,22,10,24.0,1,1,0
スタンダード,990,33,8,14.8,1,0,0
スタンダード,990,11,3,8.1,1,0,1
スタンダード,990,7,0,0.0,2,0,1
スタンダード,990,2,0,2.1,1,0,1
ライト,790,14,19,19.6,0,0,0
プレミアム,1980,9,14,6.6,0,0,0
プレミアム,1980,18,13,39.2,0,1,0
プレミアム,1980,8,19,44.2,1,1,0
ライト,790,10,24,49.0,0,0,0
スタンダード,1480,23,0,0.9,2,1,1
プレミアム,1980,5,14,15.5,0,1,0
ライト,790,26,5,11.8,1,0,0
スタンダード,1480,13,9,18.9,1,0,0
スタンダード,990,8,13,20.6,1,0,0
ライト,790,33,12,10.1,0,0,0
スタンダード,1480,8,13,20.5,2,0,0
プレミアム,1980,23,26,73.9,1,1,0
ライト,790,10,17,30.9,0,0,0
ライト,490,37,3,4.3,1,1,0
スタンダード,1480,14,11,22.0,1,0,0
スタンダード,1480,18,24,42.3,2,1,0
スタンダード,1480,15,5,12.5,0,0,0
スタンダード,990,21,0,4.0,2,0,1
スタンダード,990,16,12,32.8,0,0,0
スタンダード,990,1,16,34.7,0,1,0
ライト,490,34,12,22.8,2,0,0
スタンダード,1480,16,8,19.0,1,1,1
スタンダード,990,8,12,24.5,0,1,0
スタンダード,1480,15,14,28.3,1,0,0
ライト,490,15,18,29.5,1,1,0
プレミアム,1980,16,9,13.1,2,0,0
ライト,490,18,20,24.6,2,1,0
スタンダード,1480,29,26,27.5,1,1,0
プレミアム,1980,18,10,9.4,0,0,0
ライト,790,8,17,44.9,1,0,0
スタンダード,990,3,12,15.4,1,1,0
スタンダード,990,8,11,21.4,1,1,0
ライト,790,16,5,3.9,0,0,0
プレミアム,1980,5,7,17.7,2,0,0
スタンダード,1480,15,21,23.7,0,1,0
ライト,790,7,17,28.1,0,0,0
スタンダード,990,10,11,26.6,0,0,0
プレミアム,1980,5,7,11.6,2,0,1
ライト,490,25,14,22.4,1,0,0
ライト,790,8,26,36.3,1,0,0
ライト,790,14,6,12.5,0,0,0
スタンダード,1480,15,19,42.8,1,1,0
ライト,490,31,12,24.4,2,0,0
スタンダード,990,20,2,6.2,0,0,1
ライト,490,23,18,15.3,2,1,0
ライト,490,3,8,23.7,1,0,0
スタンダード,990,18,22,28.5,0,0,0
プレミアム,1980,17,8,20.7,0,0,0
スタンダード,990,30,13,36.1,2,0,0
プレミアム,1980,3,14,18.0,2,1,1
スタンダード,1480,18,26,42.4,0,1,0
スタンダード,1480,27,0,2.1,1,1,1
ライト,790,10,17,30.4,1,0,0
スタンダード,990,8,18,30.4,1,1,0
ライト,790,3,11,8.3,0,1,1
ライト,490,8,5,7.9,2,0,0
プレミアム,1980,5,3,9.2,1,1,1
プレミアム,1980,36,2,9.2,1,0,1
プレミアム,1980,3,14,14.4,0,0,0
スタンダード,1480,12,9,18.1,1,0,0
スタンダード,990,25,6,19.8,1,1,1
ライト,790,21,20,57.5,0,0,0
スタンダード,1480,8,11,23.1,2,0,0
プレミアム,1980,13,3,7.8,1,0,0
ライト,490,10,16,50.2,0,0,0
スタンダード,990,2,19,19.0,2,0,1
ライト,790,11,14,35.5,0,1,0
ライト,490,2,5,17.7,0,0,1
スタンダード,1480,5,2,5.9,0,0,0
ライト,490,9,24,50.9,0,0,0
ライト,790,2,3,5.4,1,0,0
スタンダード,990,12,15,24.7,3,0,0
プレミアム,1980,14,0,3.0,2,0,0
プレミアム,1980,10,10,28.0,1,0,0
ライト,790,8,23,26.4,0,1,0
スタンダード,1480,5,13,26.2,4,0,1
ライト,790,6,1,2.8,1,0,1
スタンダード,990,20,1,3.3,2,0,1
ライト,490,9,14,15.6,2,0,0
スタンダード,990,22,15,16.2,4,0,0
ライト,490,16,27,24.0,1,0,0
プレミアム,1980,24,6,12.8,3,0,0
ライト,490,13,19,32.3,3,0,0
スタンダード,1480,3,12,27.1,1,1,0
スタンダード,990,1,27,51.3,0,0,0
ライト,490,6,30,51.7,0,1,0
ライト,490,5,0,1.3,1,1,0
ライト,490,10,9,9.4,2,0,1
スタンダード,1480,20,30,29.4,0,1,0
プレミアム,1980,25,9,17.5,0,0,0
スタンダード,1480,14,18,41.4,0,0,0
プレミアム,1980,13,10,17.4,1,1,0
プレミアム,1980,11,6,17.6,0,1,1
スタンダード,1480,11,23,34.2,1,1,0
スタンダード,1480,7,11,15.1,0,0,0
スタンダード,1480,11,10,15.5,0,0,1
ライト,790,15,1,5.7,3,0,1
ライト,490,19,5,13.0,0,0,0
スタンダード,1480,7,15,50.5,1,0,0
スタンダード,1480,22,2,3.5,1,1,1
スタンダード,990,11,20,25.2,1,1,0
スタンダード,1480,25,9,9.5,1,0,1
ライト,490,2,19,29.4,3,0,0
ライト,490,30,18,39.8,1,0,0
スタンダード,1480,22,25,37.8,1,1,0
プレミアム,1980,3,14,21.2,1,0,0
プレミアム,1980,13,13,18.8,2,0,0
スタンダード,1480,6,22,46.7,1,0,0
スタンダード,1480,14,7,0.0,1,0,1
ライト,490,7,12,18.7,0,0,0
スタンダード,990,10,0,0.7,1,0,1
スタンダード,1480,9,19,30.0,1,0,0
ライト,490,19,24,49.0,2,1,0
ライト,490,1,16,33.5,1,0,0
ライト,790,3,0,3.8,2,0,1
ライト,490,24,5,12.3,1,0,0
ライト,790,9,11,23.2,0,0,0
ライト,790,13,0,0.0,2,0,1
プレミアム,1980,13,19,32.0,2,1,0
ライト,790,6,19,25.3,2,0,0
スタンダード,990,4,22,35.0,0,0,0
ライト,790,14,2,9.6,1,1,1
ライト,490,5,1,4.0,2,0,1
プレミアム,1980,21,16,38.7,2,0,0
スタンダード,1480,9,0,1.5,1,0,1
ライト,790,21,26,48.7,0,0,0
ライト,790,21,30,64.5,3,0,0
ライト,790,10,0,0.6,0,1,0
スタンダード,1480,21,8,17.4,0,0,0
ライト,790,7,13,26.3,2,0,0
スタンダード,990,9,12,41.6,3,1,0
スタンダード,990,27,20,13.6,0,0,0
ライト,790,22,16,27.3,1,0,0
スタンダード,1480,5,4,6.1,1,0,0
スタンダード,990,5,7,16.0,2,0,0
ライト,790,16,21,55.2,0,0,0
スタンダード,1480,3,16,23.5,1,0,0
ライト,490,9,18,38.0,1,0,0
プレミアム,1980,21,0,5.0,3,1,1
プレミアム,1980,10,27,10.9,2,1,0
スタンダード,1480,35,0,4.1,1,0,1
ライト,490,5,8,19.7,3,0,1
プレミアム,1980,15,1,0.0,1,1,1
スタンダード,1480,25,10,4.1,1,1,0
スタンダード,990,46,19,41.9,1,1,0
ライト,790,2,3,0.0,2,1,0
ライト,790,8,17,29.9,0,0,0
スタンダード,990,22,18,15.2,1,1,0
スタンダード,1480,3,21,54.7,3,0,0
ライト,490,16,11,17.9,1,0,1
ライト,490,32,14,26.4,0,1,0
スタンダード,1480,28,7,11.8,1,1,0
スタンダード,1480,16,5,19.1,1,0,0
スタンダード,1480,5,24,49.6,2,0,0
ライト,790,20,14,28.8,1,0,0
スタンダード,1480,8,8,21.2,1,0,1
スタンダード,1480,22,10,28.9,0,0,0
ライト,490,14,8,13.1,1,0,0
スタンダード,990,21,19,22.0,0,0,0
スタンダード,990,27,6,18.1,1,0,0
ライト,490,14,23,27.9,2,0,0
プレミアム,1980,12,13,22.1,2,1,0
ライト,790,16,0,1.5,1,0,1
ライト,490,5,7,18.7,0,1,1
ライト,490,12,11,5.2,0,0,0
スタンダード,990,4,12,11.6,0,1,0
プレミアム,1980,2,13,29.4,0,0,0
スタンダード,1480,11,13,4.8,1,1,0
スタンダード,990,6,5,9.0,1,0,0
スタンダード,990,38,19,47.4,0,0,0
ライト,490,9,15,26.3,1,0,0
ライト,490,3,19,44.1,0,0,0
ライト,790,9,5,18.1,0,0,0
ライト,790,37,0,3.7,0,1,1
プレミアム,1980,15,10,13.9,0,0,0
ライト,490,3,10,14.6,4,0,1
スタンダード,1480,12,30,46.1,1,0,0
プレミアム,1980,21,11,17.4,1,0,0
スタンダード,1480,11,1,2.2,2,0,1
ライト,790,11,14,30.6,1,1,0
スタンダード,990,28,25,65.5,1,0,0
スタンダード,1480,15,11,29.2,1,0,0
スタンダード,990,2,19,24.5,1,0,0
スタンダード,990,7,19,51.8,2,0,0
ライト,790,4,9,11.1,0,0,0
ライト,790,13,10,35.6,1,0,0
プレミアム,1980,3,0,0.1,1,1,0
プレミアム,1980,2,0,0.0,1,0,1
スタンダード,1480,33,12,21.1,2,1,1
プレミアム,1980,25,13,15.8,1,0,0
スタンダード,1480,11,22,44.6,3,0,0
ライト,490,18,1,4.3,0,0,0
