エリア,専有面積,築年数,駅徒歩分,所在階,駅乗降客数,成約価格
城東・城北,69.7,13,3,2,4.2,3360
城南・城西,56.6,6,8,6,16.7,5810
城南・城西,67.9,40,5,4,17.6,5670
近郊（多摩・県境）,52.5,18,2,9,3.8,2510
近郊（多摩・県境）,47.8,0,10,2,3.8,2480
近郊（多摩・県境）,35.5,2,5,5,1.4,1500
都心3区,42.5,6,3,6,24.9,7060
城東・城北,24.7,26,2,12,3.3,1460
城東・城北,89.8,12,6,7,5.9,4570
近郊（多摩・県境）,62.8,28,4,14,1.8,2090
城東・城北,85.8,3,15,5,2.8,2990
城南・城西,29.9,3,9,4,11.8,2790
城東・城北,46.8,43,3,5,7.6,2090
城南・城西,49.0,36,2,5,19.3,4110
城南・城西,58.4,21,9,10,8.7,3670
近郊（多摩・県境）,65.9,10,1,5,6.9,3360
近郊（多摩・県境）,64.7,24,7,8,2.4,1760
城東・城北,51.2,2,11,1,12.8,3560
近郊（多摩・県境）,49.5,11,2,5,1.7,1940
近郊（多摩・県境）,52.2,6,8,1,1.4,1770
城南・城西,79.4,4,1,5,15.0,12450
近郊（多摩・県境）,65.7,39,8,1,7.9,1620
城東・城北,43.7,5,3,1,9.2,3870
近郊（多摩・県境）,43.2,6,12,1,0.6,1020
近郊（多摩・県境）,71.0,12,1,1,0.8,2130
城南・城西,67.9,20,11,4,19.8,4580
城東・城北,61.1,36,2,8,10.3,3440
城南・城西,58.5,5,1,6,12.2,7250
近郊（多摩・県境）,34.0,0,13,5,6.6,1610
近郊（多摩・県境）,48.7,29,7,3,6.5,1590
城南・城西,84.3,20,2,1,20.1,7540
城東・城北,62.9,7,2,4,11.3,5480
城南・城西,65.3,25,5,6,7.4,4350
城南・城西,40.7,22,7,1,11.1,2190
都心3区,82.2,2,11,3,30.1,9190
城東・城北,71.4,26,1,5,2.1,3050
近郊（多摩・県境）,64.3,40,6,1,0.9,1050
城東・城北,75.5,2,11,4,12.4,4280
城南・城西,43.4,1,2,6,13.7,5900
近郊（多摩・県境）,33.7,1,3,3,2.9,2020
城南・城西,33.6,18,3,4,12.6,2710
城南・城西,67.1,26,4,1,10.1,4980
都心3区,68.1,13,5,1,25.2,7860
城南・城西,56.1,1,6,8,21.7,6600
城東・城北,35.4,5,6,2,2.2,2050
城東・城北,65.0,16,2,7,13.8,4810
城南・城西,70.3,8,6,12,16.0,6590
都心3区,59.9,8,10,2,31.8,6380
城東・城北,88.3,7,10,1,6.5,3510
城南・城西,46.8,7,2,4,5.6,3870
都心3区,24.9,19,3,2,27.2,4000
城南・城西,93.2,6,5,5,18.3,10260
近郊（多摩・県境）,56.4,36,1,2,5.8,1840
近郊（多摩・県境）,32.7,29,11,1,1.4,660
城東・城北,50.2,5,4,1,10.8,3480
都心3区,55.8,3,8,5,16.6,7260
近郊（多摩・県境）,56.5,6,2,5,5.3,2640
城東・城北,38.6,18,8,15,5.0,1810
城南・城西,56.7,29,6,6,10.1,3410
都心3区,53.8,12,6,3,23.9,5150
城東・城北,64.5,12,11,2,10.7,2850
